,proxy,https
0,49.0.253.51:9093,no
1,128.199.202.122:3128,no
2,162.223.94.164:80,no
3,104.248.90.212:80,no
4,66.94.99.30:443,yes
5,47.56.110.204:8989,no
6,146.59.202.70:80,no
7,146.59.199.12:80,no
8,144.49.99.215:8080,no
9,34.101.245.121:80,no
10,179.27.158.78:80,no
11,198.49.68.80:80,no
12,134.209.29.120:8080,no
13,200.105.215.22:33630,no
14,137.74.65.101:80,no
15,75.89.101.62:80,no
16,221.151.181.101:8000,no
17,103.83.232.122:80,no
18,170.187.229.239:3128,no
19,185.178.47.135:80,no
20,103.127.1.130:80,no
21,37.238.98.20:80,no
22,34.143.228.238:8080,no
23,46.47.197.210:3128,no
24,209.79.65.132:8080,yes
25,47.254.153.78:8060,no
26,123.30.154.171:7777,no
27,139.59.1.14:8080,no
28,8.212.131.161:8080,no
29,103.29.69.77:3128,no
30,167.71.5.83:8080,no
31,91.107.247.115:4000,no
32,87.247.185.75:3128,yes
33,103.168.53.1:41317,no
34,191.96.31.183:80,no
35,178.33.3.163:8080,yes
36,102.68.85.186:8080,no
37,103.155.217.1:41317,no
38,47.243.242.70:3128,no
39,103.141.142.1:41317,no
40,51.124.209.11:80,no
41,47.88.29.108:8084,no
42,103.176.108.1:1337,no
43,103.152.112.145:80,no
44,113.161.131.43:80,no
45,134.195.101.34:8080,no
46,136.144.178.240:80,no
47,113.20.118.15:8081,no
48,34.75.225.169:8080,no
49,64.225.8.118:10000,yes
50,116.203.28.43:80,no
51,50.169.62.107:80,no
52,50.171.32.225:80,no
53,159.203.61.169:3128,no
54,198.199.86.11:3128,no
55,50.235.240.86:80,no
56,213.33.126.130:80,no
57,213.33.2.28:80,no
58,133.18.234.13:80,no
59,185.140.53.137:80,no
60,50.222.245.40:80,no
61,50.217.29.198:80,no
62,50.170.90.26:80,no
63,50.169.175.234:80,no
64,50.222.245.43:80,no
65,50.200.12.87:80,no
66,213.157.6.50:80,no
67,80.150.50.226:80,no
68,50.204.219.231:80,no
69,50.228.141.101:80,no
70,50.227.121.32:80,no
71,50.207.199.84:80,no
72,190.61.88.147:8080,yes
