,proxy,https
0,202.86.138.18:8080,yes
1,50.219.106.85:80,no
2,50.200.12.87:80,no
3,50.170.90.28:80,no
4,50.168.10.173:80,no
5,50.227.121.36:80,no
6,217.11.184.27:3128,yes
7,34.75.225.169:8080,no
8,159.203.61.169:3128,no
9,50.222.245.45:80,no
10,107.1.93.208:80,no
11,50.227.121.37:80,no
12,50.168.163.179:80,no
13,50.200.12.81:80,no
14,82.180.163.163:80,no
15,213.33.126.130:80,no
16,195.23.57.78:80,no
17,50.171.2.10:80,no
18,134.209.29.120:8080,no
19,50.204.219.226:80,no
20,50.206.25.105:80,no
21,50.171.2.8:80,no
22,50.171.2.15:80,no
23,50.174.7.162:80,no
24,50.168.49.107:80,no
25,50.219.106.81:80,no
26,50.227.121.33:80,no
27,50.222.245.44:80,no
28,50.207.199.86:80,no
29,24.158.29.166:80,no
30,50.206.25.104:80,no
31,130.162.128.90:3128,no
32,50.219.106.84:80,no
33,50.206.111.90:80,no
34,136.144.178.240:80,no
35,50.168.163.177:80,no
36,50.169.91.138:80,no
37,103.83.232.122:80,no
38,107.1.93.215:80,no
39,190.61.88.147:8080,yes
40,50.222.245.46:80,no
41,107.1.93.216:80,no
42,50.168.10.168:80,no
43,34.81.113.225:3128,yes
44,170.187.229.239:3128,no
45,87.247.185.75:3128,yes
46,50.206.25.107:80,no
47,188.166.56.246:80,no
48,103.168.53.53:41367,no
49,50.169.135.10:80,no
50,107.1.93.221:80,no
51,50.200.12.84:80,no
52,50.171.32.230:80,no
53,203.85.120.69:8080,no
54,103.49.202.252:80,no
55,50.168.49.111:80,no
56,34.80.202.6:3128,yes
57,167.71.5.83:8080,no
58,51.75.206.209:80,no
59,47.88.3.19:8080,no
60,198.199.86.11:3128,no
61,195.154.106.167:80,no
62,50.204.219.228:80,no
63,185.178.47.135:80,no
64,46.245.77.53:3128,no
65,50.218.130.132:80,no
66,213.171.44.134:3128,yes
67,146.59.14.159:80,no
68,8.219.169.172:5555,no
69,107.1.93.213:80,no
70,50.204.219.224:80,no
71,193.15.14.198:80,no
72,41.186.44.106:3128,no
73,91.107.247.138:4000,yes
74,50.217.226.40:80,no
75,50.207.253.118:80,no
76,50.174.7.155:80,no
77,217.11.184.30:3128,yes
78,64.137.75.227:6147,no
79,212.18.127.150:8085,no
80,64.137.75.252:6172,no
81,103.174.81.10:80,no
82,64.137.90.95:5715,no
83,50.171.1.222:80,no
84,190.5.77.211:80,no
85,146.19.44.15:8085,no
86,50.168.163.166:80,no
87,50.174.145.12:80,no
88,36.64.162.194:8080,no
89,50.173.140.145:80,no
90,50.168.10.178:80,no
91,38.15.151.117:3128,no
92,154.202.118.240:3128,no
93,154.202.114.190:3128,no
94,161.123.208.251:6495,no
95,45.114.12.15:5083,no
96,185.57.237.32:4411,no
97,50.173.140.138:80,no
98,103.152.112.145:80,no
99,146.19.91.46:8085,no
100,103.19.130.50:8080,no
101,93.103.130.130:8080,no
102,154.202.125.144:3128,no
103,154.202.109.18:3128,no
104,201.238.248.134:443,no
105,103.152.232.84:8080,no
106,45.114.12.38:5106,no
107,23.27.240.239:3128,no
108,154.202.119.47:3128,no
109,38.15.152.14:3128,no
110,50.227.121.34:80,no
111,50.217.226.45:80,no
112,23.95.183.70:3128,no
113,154.202.124.171:3128,no
114,104.165.127.46:3128,no
115,154.202.126.253:3128,no
116,66.191.31.158:80,no
117,38.15.154.84:3128,no
118,45.114.12.16:5084,no
119,34.101.245.121:80,yes
120,45.114.12.77:5145,no
121,194.182.187.78:3128,no
122,50.239.72.16:80,no
123,34.87.103.220:80,no
124,213.33.2.28:80,no
125,209.127.76.102:3128,no
126,154.202.115.107:3128,no
127,23.230.42.99:3128,no
128,223.205.75.17:3128,no
129,38.15.151.13:3128,no
130,64.137.126.78:6686,no
131,64.137.90.150:5770,no
132,45.10.167.47:8085,no
133,161.123.208.108:6352,no
134,154.202.126.109:3128,no
135,208.110.81.34:17040,no
136,154.202.115.53:3128,no
137,64.137.90.107:5727,no
138,185.61.220.176:8085,no
139,38.15.152.86:3128,no
140,154.83.10.53:3128,no
141,154.202.114.194:3128,no
142,38.15.151.51:3128,no
143,38.15.155.3:3128,no
144,94.158.23.247:8085,no
145,161.123.208.126:6370,no
146,38.15.153.71:3128,no
147,38.15.154.251:3128,no
148,46.161.62.223:8085,no
149,23.230.42.221:3128,no
150,154.202.118.55:3128,no
151,154.202.124.207:3128,no
152,147.182.180.242:80,no
153,185.14.194.32:8085,no
154,50.168.49.109:80,no
155,88.218.65.92:8085,no
156,104.165.127.79:3128,no
157,23.27.240.71:3128,no
158,154.83.9.162:3128,no
159,45.39.72.32:3128,no
160,88.218.45.192:8085,no
161,173.208.239.42:17005,no
162,154.202.114.240:3128,no
163,74.208.177.198:80,no
164,183.88.228.208:8080,no
165,154.83.9.18:3128,no
166,45.132.186.207:8085,no
167,83.171.227.140:8085,no
168,154.202.113.115:3128,no
169,45.114.12.62:5130,no
170,185.102.113.220:8085,no
171,72.170.220.17:8080,no
172,83.171.226.87:8085,no
173,154.202.117.133:3128,no
174,38.15.154.71:3128,no
175,193.233.90.241:8085,no
176,45.114.12.251:5319,no
177,38.15.152.203:3128,no
178,209.127.76.50:3128,no
179,50.206.111.88:80,no
180,104.252.131.98:3128,no
181,154.83.8.127:3128,no
182,45.114.12.57:5125,no
183,38.15.150.114:3128,no
184,88.218.66.171:8085,no
185,154.83.8.175:3128,no
186,154.202.117.212:3128,no
187,64.137.90.128:5748,no
188,185.68.152.197:8085,no
189,38.15.151.124:3128,no
190,154.202.114.192:3128,no
191,38.15.151.6:3128,no
192,154.202.119.118:3128,no
193,85.239.35.124:8085,no
194,23.95.183.46:3128,no
195,64.137.90.176:5796,no
196,64.137.90.185:5805,no
197,64.137.90.219:5839,no
198,161.123.209.243:6743,no
199,64.137.90.73:5693,no
200,64.137.75.96:6016,no
201,45.114.12.135:5203,no
202,64.137.126.96:6704,no
203,64.137.90.58:5678,no
204,154.202.117.233:3128,no
205,154.201.61.131:3128,no
206,45.114.12.102:5170,no
207,64.137.75.232:6152,no
208,45.148.233.135:8085,no
209,185.68.155.52:8085,no
210,23.230.167.252:3128,no
211,217.145.226.139:8085,no
212,64.137.75.181:6101,no
213,50.169.62.109:80,no
214,83.142.53.253:8085,no
215,23.27.240.241:3128,no
216,45.114.12.165:5233,no
217,154.202.116.216:3128,no
218,45.114.12.174:5242,no
219,64.137.75.162:6082,no
220,45.114.12.124:5192,no
221,154.202.116.208:3128,no
222,45.190.170.254:999,no
223,64.137.126.127:6735,no
224,104.165.169.40:3128,no
225,38.15.155.208:3128,no
226,23.27.240.104:3128,no
227,45.177.108.242:999,no
228,154.202.112.110:3128,no
229,154.83.8.239:3128,no
230,23.27.240.91:3128,no
231,154.202.118.203:3128,no
232,38.15.151.236:3128,no
233,161.123.208.96:6340,no
234,161.123.208.201:6445,no
235,64.137.126.212:6820,no
236,84.54.57.13:8085,no
237,64.137.90.194:5814,no
238,50.227.121.39:80,no
239,161.123.208.85:6329,no
240,23.27.240.129:3128,no
241,64.137.126.90:6698,no
242,38.15.154.32:3128,no
243,104.234.138.176:3128,no
244,38.15.148.223:3128,no
245,146.19.39.142:8085,no
246,46.253.131.121:8085,no
247,185.202.108.82:8085,no
248,64.137.75.100:6020,no
249,154.202.125.60:3128,no
250,154.202.119.242:3128,no
251,5.183.255.169:8085,no
252,161.123.208.101:6345,no
253,104.252.131.7:3128,no
254,146.185.202.196:8085,no
255,64.137.75.188:6108,no
256,154.202.127.152:3128,no
257,154.83.8.187:3128,no
258,38.15.154.78:3128,no
259,64.137.75.34:5954,no
260,45.114.12.73:5141,no
261,161.123.209.37:6537,no
262,154.202.119.3:3128,no
263,45.199.141.217:3128,no
264,38.15.152.59:3128,no
265,91.204.15.90:8085,no
266,154.83.11.104:3128,no
267,64.137.75.120:6040,no
268,161.123.208.162:6406,no
269,64.137.75.63:5983,no
270,45.114.12.177:5245,no
271,45.39.72.186:3128,no
272,94.154.113.251:8085,no
273,38.154.123.110:8800,no
274,64.137.75.149:6069,no
275,64.137.126.232:6840,no
276,104.165.127.251:3128,no
277,64.137.75.239:6159,no
278,154.202.112.116:3128,no
279,38.15.151.185:3128,no
280,193.202.82.73:8085,no
281,83.97.119.46:8085,no
282,38.15.152.120:3128,no
283,45.114.12.98:5166,no
284,154.202.127.62:3128,no
285,64.137.75.240:6160,no
286,38.15.153.78:3128,no
287,103.78.9.198:10001,no
288,64.137.90.116:5736,no
289,147.78.180.224:8085,no
290,146.185.203.169:8085,no
291,161.123.208.38:6282,no
292,64.137.90.136:5756,no
293,161.123.208.26:6270,no
294,64.137.90.216:5836,no
295,64.137.75.67:5987,no
296,185.88.36.138:8085,no
297,154.202.116.158:3128,no
298,94.154.113.94:8085,no
