,proxy,https
0,114.37.164.53:80,no
1,50.173.157.72:80,no
2,50.218.57.64:80,no
3,50.217.226.47:80,no
4,77.73.241.154:80,no
5,107.1.93.220:80,no
6,47.177.148.110:80,no
7,161.117.89.36:8888,no
8,159.192.139.178:8080,no
9,190.61.88.147:8080,yes
10,50.169.62.106:80,no
11,50.217.153.73:80,no
12,20.210.113.32:8123,no
13,147.182.132.21:80,no
14,50.223.129.111:80,no
15,50.237.89.163:80,no
16,50.221.203.195:80,no
17,50.223.38.6:80,no
18,50.230.222.202:80,no
19,107.1.93.208:80,no
20,94.74.80.88:45554,no
21,62.141.11.68:80,no
22,50.168.49.109:80,no
23,91.209.11.132:80,no
24,50.168.72.116:80,no
25,50.228.141.98:80,no
26,213.33.126.130:80,no
27,50.219.106.82:80,no
28,50.206.25.106:80,no
29,133.18.234.13:80,no
30,50.223.129.106:80,no
31,104.165.127.222:3128,no
32,38.15.151.93:3128,no
33,103.49.202.252:80,no
34,82.119.96.254:80,no
35,13.234.209.87:80,no
36,27.254.217.116:8081,no
37,50.174.7.158:80,no
38,50.219.106.83:80,no
39,50.171.32.230:80,no
40,38.15.152.212:3128,no
