,proxy,https
0,201.221.9.105:8080,no
1,50.221.203.210:80,no
2,103.77.60.14:80,no
3,50.207.199.86:80,no
4,50.169.62.106:80,no
5,50.228.141.101:80,no
6,50.206.111.88:80,no
7,50.168.10.173:80,no
8,50.206.25.104:80,no
9,50.200.12.80:80,no
10,50.221.230.186:80,no
11,50.217.153.72:80,no
12,50.206.25.107:80,no
13,50.222.245.43:80,no
14,140.84.178.114:3128,yes
15,50.171.2.15:80,no
16,50.222.245.40:80,no
17,50.221.203.209:80,no
18,50.228.141.100:80,no
19,68.188.59.198:80,no
20,50.221.203.205:80,no
21,50.223.129.105:80,no
22,159.65.77.168:8585,no
23,59.124.240.22:3128,yes
24,50.174.7.155:80,no
25,193.233.202.75:8080,no
26,50.169.135.10:80,no
27,50.168.163.183:80,no
28,50.204.219.227:80,no
29,50.220.168.134:80,no
30,103.83.232.122:80,no
31,50.173.140.145:80,no
32,50.168.72.117:80,no
33,62.99.138.162:80,no
34,50.237.89.167:80,no
35,50.168.163.166:80,no
36,5.160.49.8:8080,no
37,167.60.2.64:8080,no
38,51.15.242.202:8888,no
39,34.75.225.169:8080,no
40,50.207.199.85:80,no
41,202.86.138.18:8080,yes
42,50.222.245.45:80,no
43,50.207.253.118:80,no
44,50.207.199.84:80,no
45,50.218.57.65:80,no
46,50.227.121.35:80,no
47,50.174.7.162:80,no
48,50.170.90.28:80,no
49,46.246.84.12:8118,no
50,185.254.156.236:32650,no
51,62.141.11.68:80,no
52,50.221.203.220:80,no
53,50.171.2.13:80,no
54,96.113.158.126:80,no
55,50.174.7.152:80,no
56,103.152.112.234:80,no
57,50.200.12.86:80,no
58,109.92.222.170:53281,no
59,50.173.140.144:80,no
60,50.221.203.223:80,no
61,190.61.88.147:8080,yes
62,50.168.49.105:80,no
63,50.171.32.225:80,no
64,191.101.80.124:80,no
65,50.169.62.104:80,no
66,103.162.16.81:4995,no
67,50.223.129.107:80,no
68,50.175.31.244:80,no
69,50.217.153.74:80,no
70,207.2.120.58:80,no
71,50.173.140.149:80,no
72,103.111.29.134:8080,no
73,195.23.57.78:80,no
74,198.49.68.80:80,no
75,50.223.129.109:80,no
76,50.171.32.227:80,no
77,213.109.192.6:3128,no
78,50.207.199.87:80,no
79,45.159.188.151:8080,no
80,20.206.106.192:80,no
81,50.175.31.247:80,no
82,49.156.58.36:80,no
83,107.1.93.220:80,no
84,50.227.121.32:80,no
85,178.252.134.101:3128,yes
86,50.207.199.80:80,no
87,50.168.10.174:80,no
88,32.223.6.94:80,no
89,107.1.93.223:80,no
90,45.189.149.241:999,no
91,91.249.134.148:80,no
92,107.1.93.211:80,no
93,85.8.68.2:80,no
94,50.221.203.215:80,no
95,107.1.93.210:80,no
96,50.223.129.104:80,no
97,184.185.105.105:4481,no
98,50.168.10.169:80,no
99,50.174.145.12:80,no
100,116.203.79.139:3128,no
101,50.174.7.158:80,no
102,50.174.7.157:80,no
