,proxy,https
0,107.1.93.209:80,no
1,186.121.235.222:8080,yes
2,50.169.62.111:80,no
3,133.18.234.13:80,no
4,159.203.61.169:3128,no
5,50.200.12.80:80,no
6,50.172.189.204:80,no
7,50.200.12.83:80,no
8,96.113.158.126:80,no
9,50.200.12.86:80,no
10,50.237.89.160:80,no
11,50.204.219.228:80,no
12,50.173.140.151:80,no
13,94.130.232.43:80,no
14,50.217.226.42:80,no
15,50.122.86.118:80,no
16,107.1.93.211:80,no
17,50.218.57.66:80,no
18,50.174.145.8:80,no
19,107.1.93.214:80,no
20,103.167.134.31:80,no
21,50.168.10.178:80,no
22,50.221.203.194:80,no
23,50.239.72.16:80,no
24,50.218.57.74:80,no
25,50.206.111.91:80,no
26,50.237.207.186:80,no
27,50.169.175.234:80,no
28,50.223.129.110:80,no
29,62.141.11.68:80,no
30,50.168.72.117:80,no
31,107.1.93.220:80,no
32,50.217.153.74:80,no
33,107.1.93.222:80,no
34,50.219.106.87:80,no
35,50.204.219.231:80,no
36,50.168.10.169:80,no
37,50.169.62.107:80,no
38,50.223.129.104:80,no
39,50.218.57.65:80,no
40,50.221.203.223:80,no
41,50.221.203.222:80,no
42,50.174.7.152:80,no
43,32.223.6.94:80,no
44,50.171.2.12:80,no
45,50.217.226.46:80,no
46,0.0.0.0:80,no
47,207.2.120.58:80,no
48,50.238.154.98:80,no
49,59.124.240.22:3128,yes
50,50.221.203.199:80,no
51,50.222.245.44:80,no
52,50.221.203.218:80,no
53,50.170.90.24:80,no
54,50.168.72.113:80,no
55,190.61.88.147:8080,yes
56,50.168.49.105:80,no
57,50.220.21.202:80,no
58,50.168.10.171:80,no
59,50.227.121.35:80,no
60,50.223.129.108:80,no
61,50.220.168.134:80,no
62,50.207.199.84:80,no
63,50.171.2.13:80,no
64,195.23.57.78:80,no
65,50.174.7.153:80,no
66,107.1.93.212:80,no
67,50.171.32.222:80,no
68,194.158.203.14:80,no
69,50.171.2.14:80,no
70,50.228.141.99:80,no
71,50.169.62.104:80,no
72,50.168.163.176:80,no
