,proxy,https
0,167.71.5.83:8080,no
1,47.253.105.175:20002,no
2,47.56.110.204:8989,no
3,159.223.57.23:5000,no
4,103.127.1.130:80,no
5,41.60.238.29:8080,no
6,20.111.54.16:8123,no
7,103.49.202.252:80,no
8,51.15.242.202:8888,no
9,8.213.129.15:646,no
10,20.206.106.192:80,no
11,51.124.209.11:80,no
12,117.251.103.186:8080,yes
13,159.203.61.169:3128,no
14,47.252.20.42:8081,no
15,162.223.94.163:80,no
16,8.219.5.240:999,no
17,20.210.113.32:8123,no
18,103.197.251.202:80,no
19,103.149.130.38:80,no
20,198.199.86.11:3128,no
21,137.74.65.101:80,no
22,103.141.142.1:41317,no
23,94.74.80.88:45554,no
24,50.222.245.41:80,no
25,150.109.12.63:8999,yes
26,103.83.232.122:80,no
27,50.227.121.37:80,no
28,47.254.47.61:3128,no
29,82.119.96.254:80,no
30,50.207.199.87:80,no
31,50.204.219.225:80,no
32,50.219.106.85:80,no
33,50.168.49.111:80,no
34,50.170.90.26:80,no
35,32.223.6.94:80,no
36,213.143.113.82:80,no
37,50.237.89.165:80,no
38,62.99.138.162:80,no
39,50.231.110.26:80,no
40,50.207.199.81:80,no
41,80.150.50.226:80,no
42,50.169.62.110:80,no
43,50.170.90.25:80,no
44,103.167.134.31:80,no
45,50.221.203.219:80,no
46,139.162.83.66:32539,yes
47,50.221.203.210:80,no
48,107.1.93.213:80,no
49,201.148.32.162:80,no
50,50.227.121.33:80,no
51,50.171.68.130:80,no
52,50.206.111.90:80,no
53,50.217.226.42:80,no
54,50.174.7.156:80,no
55,50.169.62.104:80,no
56,50.168.10.174:80,no
57,50.217.153.73:80,no
58,50.206.25.108:80,no
59,85.26.146.169:80,no
60,50.171.32.227:80,no
61,50.221.227.130:80,no
62,50.169.91.138:80,no
63,91.249.134.148:80,no
64,50.228.141.98:80,no
65,50.217.226.47:80,no
66,50.227.121.36:80,no
67,50.219.106.86:80,no
68,50.171.2.11:80,no
69,50.217.153.79:80,no
70,50.207.199.85:80,no
71,50.171.2.13:80,no
72,194.158.203.14:80,no
73,50.223.38.6:80,no
74,50.172.189.204:80,no
75,50.221.74.130:80,no
76,85.8.68.2:80,no
77,107.1.93.219:80,no
78,50.168.72.114:80,no
79,50.217.226.44:80,no
80,50.174.7.158:80,no
81,50.172.189.210:80,no
82,107.1.93.216:80,no
83,186.121.235.66:8080,yes
84,50.218.57.64:80,no
85,190.61.48.24:999,no
86,50.169.62.106:80,no
87,74.91.120.223:80,no
88,50.239.72.18:80,no
89,77.73.241.154:80,no
90,41.207.187.178:80,no
91,47.177.148.110:80,no
92,50.168.49.108:80,no
93,147.182.132.21:80,no
94,50.206.25.111:80,no
95,189.204.137.226:80,no
96,47.88.62.42:80,no
97,27.77.146.143:14041,yes
98,178.33.3.163:8080,no
99,45.122.228.10:8899,no
100,50.207.199.80:80,no
101,210.230.238.153:443,yes
102,50.206.25.104:80,no
103,103.155.217.1:41317,no
104,50.174.7.157:80,no
105,50.227.121.39:80,no
106,187.188.171.73:6969,no
107,64.225.4.29:9865,yes
108,122.211.138.2:53128,yes
109,13.95.173.197:80,no
110,41.254.48.10:1981,no
111,60.52.61.38:80,no
112,50.204.219.230:80,no
113,103.155.217.105:41403,no
114,75.89.101.60:80,no
115,80.228.235.6:80,no
116,121.1.41.162:111,no
